,Symbol,Date,Diluted EPS,Total Assets,Total Liabilities Net Minority Interest,Total Equity Gross Minority Interest,Common Stock Equity,Tangible Book Value,Invested Capital,End Cash Position,Financing Cash Flow,Operating Cash Flow,Total Revenue,Diluted Average Shares,Investing Cash Flow,Normalized Income,Tax Effect of Unusual Items,Pretax Income
44,BNFT,12/31/2019,-0.0014,331683.0,357327.0,-25644.0,-25644.0,-51168.0,162305.0,130976.0,-7415.0,-18375.0,295686.0,32540.0,-34162.0,-45515.0,0.0,-45488.0
45,BRKS,9/30/2019,0.0061,1515999.0,377045.0,1138954.0,1138954.0,399184.0,1190098.0,305171.0,-191161.0,90898.0,780848.0,72386.0,211312.0,21404.0,-4383.0,9443.0
46,BRQS,12/31/2018,-0.0023,80392.0,102866.0,-22474.0,-22178.0,-33620.0,-5398.0,2975.0,-11540.0,2581.0,128420.0,31200.0,-4261.0,-69197.0,124.75,-68727.0
47,BSY,12/31/2019,0.0,994599.0,659980.0,334619.0,334619.0,-191759.0,568369.0,121101.0,-77048.0,170773.0,736654.0,261235.0,-53693.0,107651.0,-1036.0,128109.0
48,CAMP,2/29/2020,-0.0024,495805.0,357886.0,137919.0,137919.0,-14311.0,348126.0,107404.0,-94820.0,11544.0,366107.0,33670.0,-65698.0,-63643.0,-5793.0,-58320.0
49,CAN,12/31/2019,-0.0072,991426.0,298631.0,692795.0,692795.0,692795.0,820160.0,524846.0,277951.0,-280058.0,1422623.0,143545.0,-16330.0,-1044374.0,0.0,-1034510.0
50,CARG,12/31/2019,0.0,393623.0,136768.0,256855.0,256855.0,237728.0,256855.0,70723.0,-14693.0,70116.0,588916.0,113432.0,-22257.0,42146.0,0.0,38705.0
51,CASA,12/31/2019,0.0,444312.0,405748.0,38564.0,38564.0,-52931.0,331844.0,114657.0,-9527.0,-39022.0,282297.0,83853.0,-118022.0,-48424.0,80.46,-24415.0
52,CDLX,12/31/2019,0.0,224313.0,81046.0,143267.0,143267.0,139063.0,143267.0,104587.0,44179.0,11457.0,210430.0,23811.0,-11020.0,-17872.0,1.606,-17144.0
53,CERN,12/31/2019,0.0017,6894622.0,2577294.0,4317328.0,4317328.0,2129872.0,5355710.0,441843.0,-601380.0,1313099.0,5692598.0,321235.0,-640408.0,505461.0,5628.0,654512.0
54,CHKP,12/31/2019,0.0054,5764900.0,2196100.0,3568800.0,3568800.0,2544100.0,3568800.0,279200.0,-1188700.0,1104300.0,1994800.0,152100.0,60000.0,832924.0,-1176.0,962400.0
55,CHNG,3/31/2020,-0.0069,10107380.0,6821933.0,3285447.0,3285447.0,-4875684.0,8274520.0,410405.0,1125570.0,-153928.0,196792.0,136997.0,-564662.0,-473746.0,-71432.0,-1090851.0
56,CMBM,12/31/2019,0.0,172479.0,132550.0,39929.0,39929.0,12882.0,103541.0,19346.0,20022.0,3553.0,267028.0,19733.0,-8612.0,-17601.0,0.0,-7321.0
57,CSIQ,12/31/2019,0.0028,5467207.0,4042149.0,1425058.0,1393134.0,1309507.0,3776895.0,1205420.0,-34614.0,600111.0,3200583.0,60778.0,-294102.0,179150.0,-1915.0,179673.0
58,EPAY,6/30/2020,0.0,793137.0,400803.0,392334.0,392334.0,32510.0,572334.0,194832.0,54624.0,97171.0,442221.0,41691.0,-47530.0,-9229.0,0.0,-7401.0
59,JG,12/31/2019,0.0,939923.0,432135.0,507788.0,507788.0,498978.0,737819.0,431574.0,-33883.0,-25758.0,906458.0,114561.0,-88966.0,-130562.0,6907.0,-109679.0
60,CCMP,9/30/2019,0.0014,2261766.0,1281389.0,980377.0,980377.0,-483738.0,1922153.0,188495.0,894432.0,174981.0,1037696.0,29094.0,-1232976.0,81053.0,-25534.0,63106.0
61,CCRN,12/31/2019,-0.0016,382374.0,218874.0,163500.0,162632.0,10709.0,233606.0,1032.0,-17599.0,5542.0,822224.0,35815.0,-2940.0,-38041.0,-7276.0,-24211.0
62,CLPS,6/30/2019,0.0,32663.0,11266.0,21397.0,20788.0,19913.0,22973.0,6601.0,466.782,401.107,64933.0,13844.0,-3862.0,-3270.0,0.0,-3101.0
63,COMM,12/31/2019,-0.005,14431600.0,12595300.0,1836300.0,836300.0,-8899000.0,10668700.0,598200.0,4698600.0,596400.0,8345100.0,193700.0,-5154900.0,-518019.0,-64219.0,-1074000.0
64,COUP,1/31/2020,-0.0015,1594073.0,1131581.0,462492.0,462492.0,-108280.0,1212219.0,268280.0,696655.0,68156.0,389719.0,62484.0,-637850.0,-90832.0,0.0,-101767.0
65,CPSI,12/31/2019,0.0014,339589.0,155242.0,184347.0,184347.0,-48979.0,292210.0,7356.0,-29484.0,43601.0,274634.0,13778.0,-12493.0,16168.0,700.0,23696.0
66,CREE,6/30/2020,-0.0035,3231000.0,1141800.0,2089200.0,2083100.0,1373500.0,2866900.0,448800.0,464300.0,-29000.0,903900.0,106570.0,-486900.0,-204000.0,0.0,-190400.0
67,CRSR,12/31/2019,0.0,1059718.0,842943.0,216775.0,216775.0,-387002.0,722587.0,51947.0,132314.0,37103.0,1097174.0,91849.0,-145427.0,-8394.0,0.0,-13399.0
68,CRTO,12/31/2019,0.0014,1790384.0,752396.0,1037988.0,1007267.0,603281.0,1023687.0,418763.0,-59111.0,222832.0,2261516.0,65599.0,-103888.0,93878.0,-1292.0,135465.0
69,CRUS,3/31/2020,0.0026,1592677.0,362898.0,1229779.0,1229779.0,908261.0,1229779.0,292119.0,-119647.0,295815.0,1281124.0,60462.0,-100221.0,178792.0,-2631.0,181266.0
70,CRWD,1/31/2020,0.0,1404906.0,662299.0,742607.0,742107.0,733858.0,742107.0,264798.0,706144.0,99943.0,481413.0,148062.0,-629631.0,-141779.0,0.0,-139782.0
71,CSCO,7/31/2020,0.0026,94853000.0,56933000.0,37920000.0,37920000.0,2538000.0,52503000.0,11812000.0,-18886000.0,15426000.0,49301000.0,4453000.0,3500000.0,11494247.0,-68753.0,13970000.0
72,CSGS,12/31/2019,0.0025,1283030.0,886368.0,396662.0,396662.0,-879.0,753484.0,156548.0,-78228.0,151076.0,996810.0,32465.0,-56636.0,86541.0,-1063.0,105723.0
73,CSOD,12/31/2019,0.0,966101.0,807619.0,158482.0,158482.0,51566.0,451656.0,215907.0,14775.0,115549.0,576523.0,60086.0,-97727.0,-4054.0,0.0,-1364.0
74,CSPI,9/30/2019,0.0,59369.0,28941.0,30428.0,30428.0,30391.0,33888.0,18099.0,-2250.0,-3329.0,79061.0,3924.0,-976.0,-502.723,25.277,-442.0
75,CTSH,12/31/2019,0.0033,16204000.0,5182000.0,11022000.0,11022000.0,6002000.0,11760000.0,2645000.0,-2569000.0,2499000.0,16783000.0,560000.0,1588000.0,2052654.0,-71346.0,2543000.0
76,CTXS,12/31/2019,0.005,4388926.0,3551270.0,837656.0,837656.0,-1069230.0,1580582.0,545761.0,-1890510.0,783070.0,3010564.0,135495.0,1035749.0,696541.0,-7519.0,509500.0
77,CVLT,3/31/2020,0.0,845076.0,433172.0,411904.0,411904.0,253119.0,411904.0,296082.0,-39403.0,88464.0,670885.0,45793.0,-74005.0,7177.0,-4743.0,-12546.0
78,CYBR,12/31/2019,0.0016,1405166.0,781034.0,624132.0,624132.0,532589.0,1109251.0,792413.0,532042.0,141710.0,433895.0,38890.0,-143222.0,63787.0,-80.3,70084.0
79,DADA,12/31/2019,-0.0111,4286115.0,11477077.0,-7190962.0,-7190962.0,-8864444.0,-7190962.0,1156133.0,0.0,-1297838.0,3099698.0,222234.0,-267460.0,-1656478.0,-66.85,-1678813.0
80,DBX,12/31/2019,0.0,2699200.0,1890800.0,808400.0,808400.0,526500.0,808400.0,551300.0,-176700.0,528500.0,1661300.0,411600.0,-320000.0,-52700.0,0.0,-52000.0
81,DCT,8/31/2019,0.0,467277.0,78211.0,389066.0,389066.0,17855.0,393066.0,11999.0,3198.0,14833.0,171273.0,111052.0,-19911.0,-16628.0,0.0,-15746.0
82,DDOG,12/31/2019,0.0,1038041.0,255700.0,782341.0,782341.0,771848.0,782341.0,601189.0,714216.0,24234.0,362780.0,139873.0,-202220.0,-16710.0,0.0,-15976.0
83,DGII,9/30/2019,0.0,398698.0,49720.0,348978.0,348978.0,164889.0,348978.0,92792.0,1113.0,28964.0,254203.0,28554.0,5511.0,9880.0,9.309,11145.0
84,DOCU,1/31/2020,-0.0012,1891138.0,1344811.0,546327.0,546327.0,294945.0,1011648.0,241483.0,-70455.0,115696.0,973971.0,176704.0,-321489.0,-207649.0,-262.44,-203556.0
85,DOMO,1/31/2020,-0.0046,216738.0,265918.0,-49180.0,-49180.0,-62523.0,51894.0,80843.0,7984.0,-80219.0,173395.0,27520.0,-23815.0,-125656.0,0.0,-124902.0
86,DOYU,12/31/2019,0.0,9103670.0,1840306.0,7263364.0,7241909.0,7012879.0,7241909.0,8134893.0,1896332.0,813176.0,7283230.0,314429.0,-246303.0,7708.0,0.0,36590.0
