,Diluted Equity,ROA,Total Liabilities Net Minority Interest,Total Equity Gross Minority Interest,Common Stock Equity,Tangible Book Value,Invested Capital,End Cash Position,Financing Cash Flow,Operating Cash Flow,Total Revenue,Investing Cash Flow,Tax Effect of Unusual Items,Pretax Income
364,-96.717,-0.3654602705345251,73127.0,186655.0,186655.0,186655.0,236669.0,181133.0,155476.0,-76484.0,5281.0,23373.0,0.0,-94637.0
365,-42.0768,-0.39244196912495793,172041.0,-65029.0,-65029.0,-65029.0,-65029.0,63336.0,93103.0,-42836.0,0.0,-26325.0,0.0,-41996.0
366,-29.603,-1.061286516251296,24331.0,3636.0,3636.0,3604.0,3636.0,20897.0,4993.0,-8159.0,1022.0,-174.0,0.0,-29681.0
367,-162.19979999999998,-0.12085766172552341,382593.0,1050746.0,1050746.0,1010585.0,1050746.0,331282.0,659359.0,134584.0,69783.0,-744338.0,3422.0,-158213.0
368,398.07460000000003,0.3385974041901913,102658.0,1071465.0,1071465.0,1071465.0,1071465.0,243500.0,9865.0,568694.0,806431.0,-496949.0,0.0,507888.0
369,-69.1488,-0.1512294416209998,74955.0,226686.0,226686.0,226686.0,228686.0,9211.0,139744.0,-40626.0,42976.0,-93097.0,0.0,-70292.0
370,-48.717,-1.1841192342284466,23953.0,-603.274,-1677.0,-1680.0,15954.0,22203.0,19091.0,-25803.0,3000.0,5.38,-3977.0,-46658.0
371,-218.5829,-0.33359586956136256,79618.0,597114.0,597114.0,593619.0,597114.0,598106.0,493593.0,-175936.0,13375.0,-5159.0,8.3061,-218250.0
372,0.0,-2.325262677021471,21912.0,-19723.0,-19723.0,-19723.0,-18170.0,2056.0,946.0,-3713.0,0.0,1506.0,0.0,-5161.0
373,-125.89179999999999,-0.39927790612134273,134077.0,175855.0,188225.0,141190.0,241471.0,127674.0,167452.0,-97460.0,101229.0,7499.0,0.0,-124605.0
374,-292.4556,-0.8484700036740906,52161.0,290781.0,290781.0,290781.0,290781.0,75711.0,188786.0,-235626.0,0.0,60459.0,0.0,-290964.0
375,-16.994,-1.1897860593512768,1334.0,13156.0,13156.0,13087.0,13156.0,12691.0,11337.0,-9128.0,0.0,-7.625,0.0,-17240.0
376,0.0,-0.06308525130852513,310537.0,247343.0,247343.0,-117319.0,309195.0,28483.0,14373.0,-15811.0,230807.0,-2147.0,0.0,-34995.0
377,-26.7274,-2.90611329220415,2115.0,6800.0,6800.0,6800.0,6800.0,8745.0,32333.0,-26259.0,0.0,0.0,0.0,-25908.0
378,-124.89139999999999,-0.3959833032981587,48694.0,254839.0,254839.0,254585.0,254839.0,211430.0,108863.0,-101484.0,2908.0,-18668.0,-447.118,-139008.0
379,0.0,-0.043260869565217394,35754.0,14846.0,14846.0,14846.0,30612.0,29785.0,26194.0,-2919.0,28795.0,-17917.0,0.0,9388.0
380,-23.1648,-0.8163693599160545,16930.0,6895.0,6895.0,6895.0,15862.0,10943.0,11867.0,-17264.0,9131.0,-70.0,0.0,-19450.0
381,-68.0862,-0.34351480469049384,8763.0,186952.0,186952.0,186952.0,186952.0,159236.0,131174.0,-58538.0,0.0,-27904.0,0.0,-67483.0
382,-11.4486192,-0.7612182961196619,3190.0,6036.0,6036.0,-729.48,6036.0,1385.0,7378.0,-8393.0,0.0,-3001.0,52.8541,-6826.0
383,-23.492,-0.6522327843484028,15162.0,21026.0,21184.0,21184.0,29921.0,9210.0,1336.0,-20013.0,422.0,4925.0,0.0,-23763.0
384,-17.404799999999998,-0.2550796124119001,162264.0,-65357.0,-65357.0,-65357.0,-60813.0,94578.0,89233.0,2490.0,2319.0,-235.0,0.0,-24734.0
385,-74.0664,-0.3638898032057612,14501.0,186013.0,186013.0,186013.0,186013.0,187535.0,129994.0,-67668.0,0.0,-1585.0,0.0,-72965.0
386,-58.1875,-0.6251231996947827,34135.0,60224.0,60224.0,60224.0,85121.0,92053.0,63666.0,-50962.0,0.0,-117.0,0.0,-59037.0
387,-79.9876,-0.3636351229631247,36819.0,183003.0,183003.0,182692.0,203339.0,171082.0,110955.0,-83454.0,13820.0,45287.0,0.0,-79934.0
388,-68.04,-0.30988437995919293,41827.0,178722.0,178722.0,178722.0,198657.0,219966.0,252389.0,-46375.0,0.0,-16.121,0.0,-68345.0
389,-18.017999999999997,-0.8872045477211529,5601.0,14453.0,14453.0,14453.0,14453.0,16808.0,7075.0,-14950.0,2334.0,-1581.0,0.0,-17486.0
390,0.0,-1.7048186004717512,4286.0,4617.0,4617.0,-676.526,6139.0,175.796,13145.0,-14034.0,0.0,-24.098,0.0,-15178.0
391,-90.65,-0.46717788070391225,55154.0,100945.0,-201104.0,-201104.0,-195390.0,50553.0,41279.0,-72003.0,18.0,-66659.0,0.0,-78326.0
392,-954.8586,-0.5883734243674676,633934.0,978355.0,962205.0,956250.0,1202900.0,620775.0,85680.0,-750269.0,428212.0,554163.0,0.0,-943586.0
393,-112.44,-0.8024516129032258,142467.0,-26217.0,-26217.0,-26217.0,10500.0,93816.0,74088.0,-77569.0,7143.0,48857.0,0.0,-112477.0
394,-13.509,-1.1922490082392432,9517.0,3591.0,3591.0,3591.0,3591.0,10277.0,6167.0,-12936.0,0.0,0.0,320.5656,-15068.0
